event_date,kullanici_sayisi,toplam_izleme_suresi_dk,ortalama_sure
2025-08-18,347707,11906795.299999967,34.24376069506788
2025-08-19,406028,14009735.166666644,34.50435725286592
2025-08-20,4176147,114367927.83333226,27.38599188039412
2025-08-21,579999,18085305.999999892,31.181615830371936
2025-08-22,339402,11485342.749999963,33.83993833271449
2025-08-23,450883,14110417.966666631,31.29507647586321
2025-08-24,404266,12731379.783333289,31.492581081103253
2025-08-25,420498,17485087.299999926,41.58185603736504
2025-08-26,477033,15137031.349999918,31.73162307429448
2025-08-27,3918541,120436120.26666372,30.734939424307086
2025-08-28,1114176,24743951.783332657,22.20829723789837
2025-08-29,562963,18527612.816666495,32.910889022309625
2025-08-30,563322,14815249.399999864,26.299788398109545
2025-08-31,458806,14004476.516666615,30.52374318702592
2025-09-01,560033,19799071.149999864,35.35340087101986
2025-09-02,385343,13706283.233333316,35.569046883771904
2025-09-03,523474,17791945.883333188,33.98821313634142
2025-09-04,971720,22736240.599999443,23.397934178569386
2025-09-05,323449,11543757.86666664,35.68957661537565
2025-09-06,1224359,37565815.73333443,30.682026867393002
2025-09-07,2528212,56851785.25000307,22.4869533290733
2025-09-08,393150,13943679.366666634,35.466563313408706
